Name,Structure,Class
cotriptyline,CN(C)CC(=O)C=C2C1=CC=CC=C1CCC3=CC=CC=C23,1
crilvastatin,C[C@@]1([H])C[C@@]([H])(CC(C)(C)C1)OC(=O)[C@@]2([H])CCC(=O)N2,1
crotetamide,CC[C@@]([H])(N(CC)C(=O)C=CC)C(=O)N(C)C,1
cyclarbamate,O=C(N/C1=C/C=CC=C1)OCC2(CCCC2)COC(=O)N/C3=C/C=CC=C3,1
cyclazocine,C[C@@]2([H])[C@@]3([H])CC1=C/C=C(/O)C=C1[C@@]2(C)CCN3C[C@@]4([H])CC4,1
cyclindole (ciclindole),CN(C)[C@@]3([H])CCC=2NC1=CC=CC=C1C=2C3,1
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,1
cyclobenzaprine,CN(C)CC/C=C2/C1=CC=CC=C1C=CC3=CC=CC=C23,1
cyclophenazine (ciclofenazine),[F]C([F])([F])C5=CC=C4[S]C1=CC=CC=C1N(CCCN2CCN(CC2)C3([H])CC3)C4=C5,1
cyclopregnol,CC(=O)[C@@]4([H])CC[C@@]5([H])[C@@]3([H])C[C@@](O)([H])[C@@]12C[C@@]1([H])CC[C@@]2(C)[C@@]3([H])CC[C@@]45C,1
cycotiamine,CC(N(C/C1=C/N=C(/C)N=C1N)C=O)=C2CCOC(=O)[S]2,1
cyheptamide,NC(=O)[C@@]2([H])C1=CC=CC=C1CCC3=CC=CC=C23,1
cyprenorphine,CO[C@@]12C=C[C@@]3(C[C@@]1([H])C(C)(C)O)[C@@]4([H])CC6=C/C=C(/O)C=7O[C@@]2([H])[C@@]3(CCN4C[C@@]5([H])CC5)C6=7,1
cyprodenate,CN(C)CCOC(=O)CCC1([H])CCCCC1,1
cyprolidol,OC(/C1=C/C=CC=C1)(C2=CC=CC=C2)[C@@]3([H])C[C@@]3([H])C4=CC=NC=C4,1
cyproximide (ciproximide),[Cl]/C1=C/C=C(C=C1)[C@@]23C[C@@]2([H])C(=O)NC3=O,1
dacemazine,CN(C)CC(=O)N2C1=CC=CC=C1[S]C3=CC=CC=C23,1
dapsone,N/C1=C/C=C(C=C1)[S](=O)(=O)C2=C/C=C(/N)C=C2,1
dazadrol,O[C@@](/C1=N/CCN1)(C2=C/C=C(/[Cl])C=C2)C3=CC=CC=N3,1
deanol,CN(C)CCO,1
decimemide,CCCCCCCCCCO/C1=C(/OC)C=C(/C=C1/OC)C(N)=O,1
delfaprazine,C/C2=C/C=C(/C/C1=C/C=CC=C1)C(=C2)N3CCNCC3,1
demoxepam,[Cl]/C3=C/C=C2NC(=O)CN(=O)=C(/C1=C/C=CC=C1)C2=C3,1
denbufylline,CCCCN2C(=O)N(CCCC)C=1N=CN(CC(C)=O)C=1C2=O,1
deprodone,CC(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C,1
desciclovir,N/C2=N/C=C1N=CN(COCCO)C1=N2,1
descinolone (descinolone-acetonide),CC(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CCC2=CC(=O)C=C[C@@]2(C)[C@@]3([F])[C@@](O)([H])C[C@@]45C,1
deserpidine,CO[C@@]5([H])[C@@]([H])(C[C@@]4([H])CN3CCC1=C(NC2=CC=CC=C12)[C@@]3([H])C[C@@]4([H])[C@@]5([H])C(=O)OC)OC(=O)C6=CC(OC)=C(OC)C(OC)=C6,1
desonide,CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,1
desoximetasone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4([H])C(=O)CO,1
detomidine,C/C2=C/C=CC(C/C1=C/NC=N1)=C2C,1
dexamethasone-acefurate,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(OC(=O)C5=CC=CO5)C(=O)COC(C)=O,1
dexamisole,[H][C@@]2(CN1CC[S]C1=N2)C3=CC=CC=C3,1
deximafen (imafen),[H][C@@]1(CN=C2NCCN12)C3=CC=CC=C3,1
dexoxadrol (dioxadrol and levoxadrol),[H][C@@]1(CCCCN1)[C@@]2([H])COC(O2)(C3=CC=CC=C3)C4=CC=CC=C4,1
dichlorisone,C[C@@]34C[C@@]([Cl])([H])[C@@]1([Cl])[C@@]([H])(CCC2=CC(=O)C=C[C@@]12C)[C@@]3([H])CC[C@@]4(O)C(=O)CO,1
dichlorisone-acetate,CC(=O)CC(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@]([Cl])([H])C[C@@]34C,1
Dichloromethane (methylene-chloride),[Cl]C[Cl],1
diclometide,CCN(CC)CCNC(=O)C1=CC([Cl])=CC([Cl])=C1OC,1
didrovaltrate,CC(C)([H])CC(=O)OC/C1=C/O[C@@]([H])(OC(=O)CC(C)(C)[H])[C@@]2([H])[C@@]1([H])C[C@@]([H])(OC(C)=O)[C@@]23CO3,1
difebarbamate,CCCCOC[C@@]([H])(CN1C(=O)N(C[C@@]([H])(COCCCC)OC(N)=O)C(=O)[C@@](CC)(C1=O)C2=CC=CC=C2)OC(N)=O,1
difluanine (difluanazine),[F]/C1=C/C=C(C=C1)C([H])(CCCN3CCN(CCN/C2=C/C=CC=C2)CC3)C4=C/C=C(/[F])C=C4,1
diflucortolone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4([H])C(=O)CO,1
diflucortolone-pivalate,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4([H])C(=O)COC(=O)C(C)(C)C,1
dihydrocodeine,CO/C2=C/C=C1C[C@@]4([H])N(C)CC[C@@]35C1=C2O[C@@]3([H])[C@@](O)([H])CC[C@@]45[H],1
dimelazine,CN1CC[C@@](C)(C1)CN3C2=CC=CC=C2[S]C4=CC=CC=C34,1
dimethadione,CC1(C)OC(=O)NC1=O,1
dimethazan,CN(C)CCN1C=NC=2N(C)C(=O)N(C)C(=O)C1=2,1
dimethylamphetamine (dimethamphetamine),C[C@@]([H])(C/C1=C/C=CC=C1)N(C)C,1
dimiracetam,O=C2CN1C(=O)CC[C@@]1([H])N2,1
dioxamate,CCCCCCCCC[C@@]1(C)OC[C@@]([H])(COC(N)=O)O1,1
diphenhydramine,CN(C)CCOC([H])(C1=CC=CC=C1)C2=CC=CC=C2,1
diphoxazide,CC(=O)NNC(=O)CC(O)(C1=CC=CC=C1)C2=CC=CC=C2,1
diprenorphine,CO[C@@]12CC[C@@]3(C[C@@]1([H])C(C)(C)O)[C@@]4([H])CC6=C/C=C(/O)C=7O[C@@]2([H])[C@@]3(CCN4C[C@@]5([H])CC5)C6=7,1
divaplon,CCC=2C(OC)=NC1=NC(=CN1C=2C)C(=O)C3=CC=CC=C3,1
dizocilpine (MK-801),C[C@@]13N[C@@]([H])(CC2=CC=CC=C12)C4=CC=CC=C34,1
domoprednate,CCCC(=O)O[C@@]3(CCC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C)C(C)=O,1
donepezil,CO/C4=C/C=3C[C@@]([H])(C[C@@]1([H])CCN(CC1)C/C2=C/C=CC=C2)C(=O)C=3/C=C4/OC,1
dopamantine,O/C4=C/C=C(/CCNC(=O)[C@@]23CC1([H])C[C@@]([H])(C[C@@]([H])(C1)C2)C3)C=C4O,1
doxapram,CCN2C[C@@]([H])(CCN1CCOCC1)C(C2=O)(C3=CC=CC=C3)C4=CC=CC=C4,1
drotebanol,CO/C4=C/C=C3C[C@@]1([H])N(C)CC[C@@]2(C[C@@](O)([H])CC[C@@]12O)C3=C4OC,1
duloxetine,CNCC[C@@]([H])(O/C1=C/C=CC2=CC=CC=C12)C3=CC=C[S]3,1
duoperone,[F]/C1=C/C=C(C=C1)C(=O)[C@@]5([H])CCN(CCCN3C2=CC=CC=C2[S]C4=CC=C(C=C34)C([F])([F])[F])CC5,1
dupracetam,O=C(CN1CCCC1=O)NNC(=O)CN2CCCC2=O,1
eclanamine,CCC(=O)N(/C1=C/C=C(/[Cl])C([Cl])=C1)[C@@]2([H])CCC[C@@]2([H])N(C)C,1
ectylurea,CC/C(=C/C)C(=O)NC(N)=O,1
edaravone,C/C1=N/N(C(=O)C1)C2=CC=CC=C2,1
efetozole,C[C@@]([H])(C1=CC=CC=C1)N2C=C/N=C2/C,1
elanzepine,CN(C)CC/C=C2/C1=CC=CC=C1CNC3=CC([Cl])=CC=C23,1
elfazepam,CC[S](=O)(=O)CCN2C(=O)C/N=C(/C1=C/C=C/C=C1/[F])C3=CC([Cl])=CC=C23,1
elopiprazole,[F]/C1=C/C=C(C=C1)C5=C/C=C(/CN2CCN(CC2)C3=CC=CC=4C=COC3=4)N5,1
eltoprazine,C1CN(CCN1)C2=CC=CC=3OCCOC2=3,1
embutramide,CCC(CC)(CNC(=O)CCCO)C1=CC=CC(OC)=C1,1
emylcamate,CCC(C)(CC)OC(N)=O,1
enciprazine,CO/C1=C/C=C/C=C1/N2CCN(CC2)C[C@@](O)([H])CO/C3=C/C(OC)=C(OC)C(OC)=C3,1
encyprate,CCOC(=O)N(C/C1=C/C=CC=C1)C2([H])CC2,1
endixaprine,O[C@@]1([H])CCN(CC1)C2=CC=C(N=N2)C3=C/C=C(/[Cl])C=C3[Cl],1
endomide,CCN(CC)C(=O)[C@@]2([H])[C@@]1([H])C[C@@]([H])(C=C1)[C@@]2([H])C(=O)N(CC)CC,1
endrysone (endrisone),C[C@@]3([H])C[C@@]2([H])[C@@]1([H])CC[C@@]([H])(C(C)=O)[C@@]1(C)C[C@@](O)([H])[C@@]2([H])[C@@]4(C)C=CC(=O)C=C34,1
enflurane,[F]C([F])([H])OC([F])([F])[C@@]([F])([Cl])[H],1
enilospirone,C[C@@]3([H])O[C@@]1(CCCC[C@@]1([H])O/C2=C/C=CC([Cl])=C2)NC3=O,1
eptastigmine,CCCCCCCNC(=O)O/C3=C/C=C2N(C)[C@@]1([H])N(C)CC[C@@]1(C)C2=C3,1
erizepine,CN1CCC3=C(CC1)C2=CC=CC=C2N(C)C4=CC=CC=C34,1
estazolam,[Cl]/C1=C/C=C2C(=C1)C(=NCC3=NN=CN23)C4=CC=CC=C4,1
etacepride,CCN1CCC[C@@]1([H])CNC(=O)C2=CC(=C/C=C2/OC)C(C)=O,1
etamiphyllin,CCN(CC)CCN1C=NC=2N(C)C(=O)N(C)C(=O)C1=2,1
etasuline,CCN/C2=N/C1=C/C=C(/[Cl])C=C1[C@@]([H])([S]2)C3=CC=CC=C3,1
etazepine,CCO[C@@]2([H])C1=CC=CC=C1N(C)C(=O)C3=CC=CC=C23,1
etazolate,CCOC(=O)C2=CN=C1N(CC)N=C/C1=C2/N/N=C(/C)C,1
ethchlorvynol,CC[C@@](O)(C=C[Cl])C#C,1
ethomoxane,CCCCNC[C@@]2([H])COC1=CC=CC(OCC)=C1O2,1
ethylene (ethene),C=C,1
ethyl-loflazepate,CCOC(=O)[C@@]3([H])N=C(/C1=C/C=C/C=C1/[F])C2=CC([Cl])=CC=C2NC3=O,1
ethypicone,CCC1(CC)C(=O)N/C=C(/C)C1=O,1
eticyclidine,CCNC1(CCCCC1)C2=CC=CC=C2,1
etifoxine,CCN/C2=N/C1=C/C=C(/[Cl])C=C1[C@@](C)(O2)C3=CC=CC=C3,1
etiracetam (levetiracetam),CC[C@@]([H])(N1CCCC1=O)C(N)=O,1
etisulergine,CCN(CC)[S](=O)(=O)N[C@@]2([H])C[C@@]1([H])C=4C=CC=C3NC=C(C[C@@]1([H])N(C)C2)C3=4,1
etodroxizine,OCCOCCOCCN1CCN(CC1)[C@@]([H])(C2=CC=CC=C2)C3=C/C=C(/[Cl])C=C3,1
etoperidone,CC/C3=N/N(CCCN1CCN(CC1)C2=CC=CC([Cl])=C2)C(=O)N3CC,1
etorphine,CCC[C@@](C)(O)[C@@]1([H])C[C@@]23C=C[C@@]1(OC)[C@@]4([H])O/C5=C(/O)C=CC=6C[C@@]2([H])N(C)CC[C@@]34C5=6,1
etoxadrol,CC[C@@]1(OC[C@@]([H])(O1)[C@@]2([H])CCCCN2)C3=CC=CC=C3,1
etymemazine,CC/C3=C/C=C2[S]C1=CC=CC=C1N(C[C@@](C)([H])CN(C)C)C2=C3,1
famciclovir,CC(=O)OCC([H])(CCN1C=NC2=C/N=C(/N)N=C12)COC(C)=O,1
fantridone,CN(C)CCCN2C(=O)C1=CC=CC=C1C3=CC=CC=C23,1
fasiplon,CCC=2C(OC)=NC1=NC(=CN1C=2C)C3=NOC(C)=N3,1
fasoracetam,O=C1CC[C@@]([H])(N1)C(=O)N2CCCCC2,1
febarbamate,CCCCOC[C@@]([H])(CN1C(=O)NC(=O)[C@@](CC)(C1=O)C2=CC=CC=C2)OC(N)=O,1
felbamate,NC(=O)OCC([H])(COC(N)=O)C1=CC=CC=C1,1
femoxetine,CO/C3=C/C=C(/OC[C@@]1([H])CN(C)CC[C@@]1([H])C2=CC=CC=C2)C=C3,1
fenaperone,[F]/C1=C/C=C(C=C1)C(=O)CCCN2CCN(CC2)C(=O)OC3([H])CCCCC3,1
fenbutrazate,CC[C@@]([H])(C(=O)OCCN2CCO[C@@]([H])(C1=CC=CC=C1)[C@@]2(C)[H])C3=CC=CC=C3,1
fencamfamin,CCN[C@@]2([H])[C@@]1([H])CC[C@@]([H])(C1)[C@@]2([H])C3=CC=CC=C3,1
fengabine,CCCC/N=C(/C1=C/C([Cl])=C/C=C1/O)C2=CC=C/C=C2/[Cl],1
fenharmane,[H][C@@]4(C/C1=C/C=CC=C1)NCCC3=NC2=CC=CCC2=C34,1
fenimide,CC[C@@]1([H])C(=O)NC(=O)[C@@]1(C)C2=CC=CC=C2,1
fenmetozole,[Cl]/C2=C/C=C(/OC/C1=N/CCN1)C=C2[Cl],1
fenmetramide,C[C@@]1([H])NC(=O)CO[C@@]1([H])C2=CC=CC=C2,1
fenobam,CN1CC(=O)N=C1NC(=O)N/C2=C/C=CC([Cl])=C2,1
fenozolone,CCN/C1=N/C(=O)[C@@]([H])(O1)C2=CC=CC=C2,1
fenpentadiol,CC(C)(O)C[C@@](C)(O)C1=C/C=C(/[Cl])C=C1,1
fepitrizol,CN1N=C(/N=C1/C2=C/C=C/C=C2/CO)C3=CC=CN=C3,1
fipexide,[Cl]/C4=C/C=C(/OCC(=O)N1CCN(CC1)C/C3=C/C=C2OCOC2=C3)C=C4,1
flerobuterol,CC(C)(C)NC[C@@](O)([H])C1=CC=C/C=C1/[F],1
florfenicol,C[S](=O)(=O)C1=CC=C(C=C1)[C@@](O)([H])[C@@]([H])(C[F])NC(=O)C([Cl])([Cl])[H],1
fluacizine,CCN(CC)CCC(=O)N2C1=CC=CC=C1[S]C3=CC=C(C=C23)C([F])([F])[F],1
fluazacort,CC(=O)OCC(=O)[C@@]14/N=C(/C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CCC2=CC(=O)C=C[C@@]2(C)[C@@]3([F])[C@@](O)([H])C[C@@]45C,1
flubanilate,CCOC(=O)N(CCN(C)C)C1=CC=CC(=C1)C([F])([F])[F],1
flubepride,CO/C1=C/C=C(/C=C1/C(=O)NC[C@@]2([H])CCCN2C/C3=C/C=C(/[F])C=C3)[S](N)(=O)=O,1
flucloronide (fluclorolone-acetonide),CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@]([Cl])([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,1
fluconazole,OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C/C=C(/[F])C=C3[F],1
flucytosine,N/C1=N/C(=O)N/C=C1/[F],1
fludrocortisone,C[C@@]34C[C@@](O)([H])[C@@]1([F])[C@@]([H])(CCC2=CC(=O)CC[C@@]12C)[C@@]3([H])CC[C@@]4(O)C(=O)CO,1
fludrocortisone-acetate,CC(=O)OCC(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,1
flumezapine,CN1CCN(CC1)C3=NC2=CC([F])=CC=C2NC=4[S]C(C)=CC3=4,1
flumoxonide,COC([H])(OC)C(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])C[C@@]([F])([H])C2=CC(=O)C=C[C@@]2(C)[C@@]3([F])[C@@](O)([H])C[C@@]45C,1
fluocinonide,CC(=O)OCC(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])C[C@@]([F])([H])C2=CC(=O)C=C[C@@]2(C)[C@@]3([F])[C@@](O)([H])C[C@@]45C,1
fluocortin,CCCCOC(=O)C(=O)[C@@]3([H])[C@@](C)([H])C[C@@]4([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C,1
fluocortolone-caproate,CCCCCC(=O)OCC(=O)[C@@]3([H])[C@@](C)([H])C[C@@]4([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C,1
fluoresone,CC[S](=O)(=O)C1=C/C=C(/[F])C=C1,1
fluorometholone-acetate,C[C@@]3([H])C[C@@]2([H])[C@@]1([H])CC[C@@](OC(C)=O)(C(C)=O)[C@@]1(C)C[C@@](O)([H])[C@@]2([F])[C@@]4(C)C=CC(=O)C=C34,1
fluotracen,C[C@@]2([H])C1=CC=CC=C1[C@@]([H])(CCCN(C)C)C3=CC(=CC=C23)C([F])([F])[F],1
fluoxetine,CNCC[C@@]([H])(O/C1=C/C=C(C=C1)C([F])([F])[F])C2=CC=CC=C2,1
flupentixol,OCCN4CCN(CC/C=C2/C1=CC=CC=C1[S]C3=CC=C(C=C23)C([F])([F])[F])CC4,1
fluphenazine-enanthate,CCCCCCC(=O)OCCN4CCN(CCCN2C1=CC=CC=C1[S]C3=CC=C(C=C23)C([F])([F])[F])CC4,1
flupimazine,OCCO[C@@]4([H])CCN(CCCN2C1=CC=CC=C1[S]C3=CC=C(C=C23)C([F])([F])[F])CC4,1
fluprazine,NC(=O)NCCN1CCN(CC1)C2=CC=CC(=C2)C([F])([F])[F],1
flurazepam,CCN(CC)CCN2C(=O)C/N=C(/C1=C/C=C/C=C1/[F])C3=CC([Cl])=CC=C23,1
fluspirilene,[F]/C1=C/C=C(C=C1)C([H])(CCCN2CCC3(CC2)N(CNC3=O)C4=CC=CC=C4)C5=C/C=C(/[F])C=C5,1
flutazolam,OCCN3C(=O)CN1CCO[C@@]1(/C2=C/C=C/C=C2/[F])C4=CC([Cl])=CC=C34,1
flutemazepam,CN2C(=O)[C@@](O)([H])N=C(/C1=C/C=C/C=C1/[F])C3=CC([Cl])=CC=C23,1
fluticasone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)[S]C[F],1
fluticasone-propionate,CCC(=O)O[C@@]3(C(=O)[S]C[F])[C@@](C)([H])C[C@@]4([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,1
flutizenol,OCCN4CCN(CCCN2C1=CC(=CC=C1[S]C=3[S]C=CC2=3)C([F])([F])[F])CC4,1
flutomidate,CCOC(=O)C1=CN=CN1[C@@](C)([H])C2=C/C=C(/[F])C=C2,1
flutroline,O[C@@]([H])(CCCN1CCC3=C(C1)C2=CC([F])=CC=C2N3/C4=C/C=C(/[F])C=C4)C5=C/C=C(/[F])C=C5,1
fluvastatin,CC(C)([H])N2C(/C=C/[C@@](O)([H])C[C@@](O)([H])CC(O)=O)=C(/C1=C/C=C(/[F])C=C1)C3=CC=CC=C23,1
fluvoxamine,COCCCC/C(=N/OCCN)C1=CC=C(C=C1)C([F])([F])[F],1
fluzinamide,CNC(=O)N1CC([H])(C1)O/C2=C/C=CC(=C2)C([F])([F])[F],1
folic-acid,N/C3=N/C(=O)C2=NC(CN/C1=C/C=C(C=C1)C(=O)N[C@@]([H])(CCC(O)=O)C(O)=O)=CN=C2N3,1
formocortal,CC(=O)OCC(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CC(C=O)=C2C=C(CC[C@@]2(C)[C@@]3([F])[C@@](O)([H])C[C@@]45C)OCC[Cl],1
fosazepam,C[P](C)(=O)CN2C(=O)C/N=C(/C1=C/C=CC=C1)C3=CC([Cl])=CC=C23,1
fosenazide,NNC(=O)C[P](=O)(C1=CC=CC=C1)C2=CC=CC=C2,1
fosfomycin,C[C@@]1([H])O[C@@]1([H])[P](O)(O)=O,1
fosphenytoin,O[P](O)(=O)CN1C(=O)NC(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3,1
ftormetazine,CN1CCN(CC1)CCC(=O)N3C2=CC=CC=C2[S]C4=CC=C(C=C34)C([F])([F])[F],1
ftorpropazine,OCCN1CCN(CC1)CCC(=O)N3C2=CC=CC=C2[S]C4=CC=C(C=C34)C([F])([F])[F],1
furomazine,O[C@@]4(CCN(CCCN2C1=CC=CC=C1[S]C3=C/C=C(/[Cl])C=C23)CC4)[C@@]5([H])CCOC5=O,1
fursultiamine,CC(N(C/C1=C/N=C(/C)N=C1N)C=O)=C(CCO)[S][S]C[C@@]2([H])CCCO2,1
gabapentin,NCC1(CCCCC1)CC(O)=O,1
gaboxadol,O/C1=N/OC=2CNCCC1=2,1
ganaxolone,CC(=O)[C@@]3([H])CC[C@@]4([H])[C@@]2([H])CC[C@@]1([H])C[C@@](C)(O)CC[C@@]1(C)[C@@]2([H])CC[C@@]34C,1
gedocarnil,COC/C3=C(/N=CC=4NC2=CC=CC(O/C1=C/C=C(/[Cl])C=C1)=C2C3=4)C(=O)OC(C)(C)[H],1
gemazocine,CC[C@@]24CCN(C[C@@]1([H])CC1)[C@@]([H])(CC3=C/C=C(/O)C=C23)C4(C)C,1
gepirone,CC3(C)CC(=O)N(CCCCN1CCN(CC1)C2=NC=CC=N2)C(=O)C3,1
gevotroline,[F]/C4=C/C=C3NC=2CCN(CCC/C1=C/C=CN=C1)CC=2C3=C4,1
girisopam,CO/C3=C/C=2CC(C)=N/N=C(/C1=C/C=CC([Cl])=C1)C=2/C=C3/OC,1
glaziovine,CO/C2=C/C=3CCN(C)[C@@]4([H])C[C@@]1(C=CC(=O)C=C1)C(=C2O)C=34,1
halcinonide,CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)C[Cl],1
halocortolone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@]([F])([H])C[C@@]3(C)[C@@]4([H])C(=O)CO,1
halopemide,[F]/C1=C/C=C(C=C1)C(=O)NCCN2CCC([H])(CC2)N3C(=O)NC4=CC([Cl])=CC=C34,1
haloperidol-decanoate,CCCCCCCCCC(=O)O[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=C/C=C(/[Cl])C=C3,1
halopredone (halopredone-acetate),CC(=O)OCC(=O)[C@@]3(CC[C@@]4([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C([Br])=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C)OC(C)=O,1
halothane,[F]C([F])([F])[C@@]([Cl])([Br])[H],1
haloxazolam,[F]/C1=C/C=C/C=C1/[C@@]23OCCN2CC(=O)NC4=C/C=C(/[Br])C=C34,1
heroin (diacetylmorphine),CN3CC[C@@]12C=4C=5O[C@@]1([H])[C@@]([H])(C=C[C@@]2([H])[C@@]3([H])CC=4C=CC=5OC(C)=O)OC(C)=O,1
hexapradol,CCCCC[C@@](N)([H])C(O)(C1=CC=CC=C1)C2=CC=CC=C2,1
hexapropymate,NC(=O)OC1(CCCCC1)CC#C,1
homatropine,CN1[C@@]2([H])CC[C@@]1([H])C[C@@]([H])(C2)OC(=O)[C@@](O)([H])C3=CC=CC=C3,1
homopipramol,OCCN4CCCN(CCCN2C1=CC=CC=C1C=CC3=CC=CC=C23)CC4,1
homprenorphine,CC[C@@](C)(O)[C@@]1([H])C[C@@]23C=C[C@@]1(OC)[C@@]4([H])O/C5=C(/OC)C=CC=6C[C@@]2([H])N(CC[C@@]34C5=6)C[C@@]7([H])CC7,1
hopantenic-acid,CC(C)(CO)[C@@](O)([H])C(=O)NCCCC(O)=O,1
hydrocortamate,CCN(CC)CC(=O)OCC(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C,1
hydrocortisone-aceponate,CCC(=O)O[C@@]3(CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C)C(=O)COC(C)=O,1
hydrocortisonecypionate (hydrocortisone-cipionate),C[C@@]14CCC(=O)C=C1CC[C@@]5([H])[C@@]3([H])CC[C@@](O)(C(=O)COC(=O)CC[C@@]2([H])CCCC2)[C@@]3(C)C[C@@](O)([H])[C@@]45[H],1
hydrocortisone-hemisuccinate,C[C@@]13CCC(=O)C=C1CC[C@@]4([H])[C@@]2([H])CC[C@@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]2(C)C[C@@](O)([H])[C@@]34[H],1
hydrocortisone-valerate,CCCCC(=O)O[C@@]3(CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C)C(=O)CO,1
hydromorphinol,CN3CC[C@@]12C=4C=5O[C@@]1([H])[C@@](O)([H])CC[C@@]2(O)[C@@]3([H])CC=4C=CC=5O,1
hydroxindasol,CO/C3=C/C=C(/CN1C(C)=C(CCN)C2=CC(O)=CC=C12)C=C3,1
ibrotamide,CC[C@@]([Br])(C(N)=O)C(C)(C)[H],1
iclazepam,[Cl]/C4=C/C=C3N(CCOCC1([H])CC1)C(=O)C/N=C(/C2=C/C=CC=C2)C3=C4,1
ifoxetine,C/C2=C/C=CC(O[C@@]1([H])CCNC[C@@]1(O)[H])=C2C,1
ilepcimide,O=C(/C=C/C2=C/C=C1OCOC1=C2)N3CCCCC3,1
iloperidone,CO/C1=C/C(=C/C=C1/OCCCN2CCC([H])(CC2)C3=NOC4=CC([F])=CC=C34)C(C)=O,1
imiclopazine,CN5CCN(CCN4CCN(CCCN2C1=CC=CC=C1[S]C3=C/C=C(/[Cl])C=C23)CC4)C5=O,1
imidoline,CN(C)CCN1CCN(C1=O)C2=CC=CC([Cl])=C2,1
imipraminoxide,CN(C)(=O)CCCN2C1=CC=CC=C1CCC3=CC=CC=C23,1
