sponsor,count
Chimerix,30
Healthpoint,30
"Mathematica Policy Research, Inc.",30
"Tesaro, Inc.",30
Danone Research,30
University of Milano Bicocca,30
Laboratorios Silanes S.A. de C.V.,30
Ache Laboratorios Farmaceuticos S.A.,30
Dexa Medica Group,30
Fundacion Clinic per a la Recerca Biomédica,30
National Cheng Kung University,30
Sir Run Run Shaw Hospital,30
"Copenhagen University Hospital, Hvidovre",30
Medline Industries,30
Faculdade de Ciências Médicas da Santa Casa de São Paulo,30
University of Cagliari,30
Saglik Bilimleri Universitesi Gulhane Tip Fakultesi,30
IPCA Laboratories Ltd.,30
Universidade Federal de Santa Maria,30
The Second Hospital of Nanjing Medical University,30
Zhongda Hospital,30
Arrowhead Pharmaceuticals,30
"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",30
"Aclaris Therapeutics, Inc.",30
argenx,30
Universidad Autonoma de Madrid,30
"Hebei Senlang Biotechnology Inc., Ltd.",30
"Sichuan Haisco Pharmaceutical Group Co., Ltd",30
Kutahya Health Sciences University,30
National Human Genome Research Institute (NHGRI),29
Romark Laboratories L.C.,29
Endocyte,29
Pediatric Brain Tumor Consortium,29
University of Central Florida,29
Harvard Medical School (HMS and HSDM),29
Spectrum Health Hospitals,29
University of Toledo Health Science Campus,29
Montana State University,29
"Research Foundation for Mental Hygiene, Inc.",29
University of Messina,29
"Alexza Pharmaceuticals, Inc.",29
Renovo,29
Istituto Auxologico Italiano,29
Mundipharma Research Limited,29
Korea University,29
Pharmacosmos A/S,29
Allina Health System,29
"University of Wisconsin, Milwaukee",29
Azienda Ospedaliero-Universitaria Careggi,29
VU University of Amsterdam,29
Philip Morris Products S.A.,29
Shahid Beheshti University,29
InQpharm Group,29
Fundación para la Investigación del Hospital Clínico de Valencia,29
Appalachian State University,29
Sichuan Cancer Hospital and Research Institute,29
"TG Therapeutics, Inc.",29
Sisli Hamidiye Etfal Training and Research Hospital,29
Aljazeera Hospital,29
MedSIR,29
Second Xiangya Hospital of Central South University,29
BioNTech SE,29
Krishnadevaraya College of Dental Sciences & Hospital,29
Biruni University,29
The Foundation for Orthopaedics and Regenerative Medicine,29
International Breast Cancer Study Group,28
Multidisciplinary Association for Psychedelic Studies,28
London Health Sciences Centre,28
Alberta Health services,28
Sociedad Española de Neumología y Cirugía Torácica,28
"St. Paul's Hospital, Canada",28
Phoenix Children's Hospital,28
Niguarda Hospital,28
Papworth Hospital NHS Foundation Trust,28
Norwegian School of Sport Sciences,28
B. Braun Melsungen AG,28
IBSA Institut Biochimique SA,28
"Instituto Nacional de Salud Publica, Mexico",28
Nanjing University School of Medicine,28
"Institute of Cardiology, Warsaw, Poland",28
Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,28
Diakonhjemmet Hospital,28
Arena Pharmaceuticals,28
Uniformed Services University of the Health Sciences,28
Fraser Health,28
Hospital Universitario La Paz,28
Stryker Orthopaedics,28
"Becton, Dickinson and Company",28
"Jeil Pharmaceutical Co., Ltd.",28
LivaNova,28
Global Alliance for TB Drug Development,28
Harbin Medical University,28
Sheffield Hallam University,28
"OncoMed Pharmaceuticals, Inc.",28
University of Belgrade,28
Padagis LLC,28
Pomeranian Medical University Szczecin,28
"Onconova Therapeutics, Inc.",28
Siriraj Hospital,28
Szeged University,28
"University of Maryland, College Park",28
NMP Medical Research Institute,28
"Instituto Nacional de Cancer, Brazil",28
B.P. Koirala Institute of Health Sciences,28
Tomsk National Research Medical Center of the Russian Academy of Sciences,28
Antalya Training and Research Hospital,28
AdventHealth Translational Research Institute,28
Medical University of Bialystok,28
The First Affiliated Hospital of Xiamen University,28
Karadeniz Technical University,28
T.C. ORDU ÜNİVERSİTESİ,28
PT Bio Farma,28
Maharishi Markendeswar University (Deemed to be University),28
Necmettin Erbakan University,28
Shenzhen Second People's Hospital,28
Renmin Hospital of Wuhan University,28
CMC Ambroise Paré,28
Foundation University Islamabad,28
Fayoum University,28
"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",28
Genta Incorporated,27
Agency for Healthcare Research and Quality (AHRQ),27
Pharmaxis,27
Swiss Tropical & Public Health Institute,27
Otsuka Beijing Research Institute,27
VA Greater Los Angeles Healthcare System,27
University of Zagreb,27
POZEN,27
Children's Hospitals and Clinics of Minnesota,27
Baqiyatallah Medical Sciences University,27
Finnish Institute for Health and Welfare,27
Luzerner Kantonsspital,27
Università degli Studi di Ferrara,27
Menarini Group,27
Kent State University,27
Dentsply Sirona Implants,27
Instituto Materno Infantil Prof. Fernando Figueira,27
Acceleron Pharma Inc.,27
Universität des Saarlandes,27
"Taisho Pharmaceutical Co., Ltd.",27
Clalit Health Services,27
"Maruho Co., Ltd.",27
"Revance Therapeutics, Inc.",27
"Tonix Pharmaceuticals, Inc.",27
Babes-Bolyai University,27
University of Cadiz,27
Adocia,27
Ibn Sina Hospital,27
Diskapi Yildirim Beyazit Education and Research Hospital,27
Reckitt Benckiser Healthcare (UK) Limited,27
Universidade do Vale do Sapucai,27
University of the Basque Country (UPV/EHU),27
"Aldeyra Therapeutics, Inc.",27
"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",27
University of Regina,27
Isra University,27
Istanbul Physical Medicine Rehabilitation Training and Research Hospital,27
"Beijing InnoCare Pharma Tech Co., Ltd.",27
National Taiwan Normal University,27
Oregon State University,26
Atlantic Health System,26
Agenus Inc.,26
Achieve Life Sciences,26
"Kadmon Corporation, LLC",26
Genmab,26
"University Hospital, Gasthuisberg",26
Peplin,26
Sykehuset Innlandet HF,26
German Cancer Research Center,26
"Kyowa Kirin, Inc.",26
Spanish Cooperative Group for the Treatment of Digestive Tumours (TTD),26
North Texas Veterans Healthcare System,26
International AIDS Vaccine Initiative,26
Puerta de Hierro University Hospital,26
Epicentre,26
Physicians Committee for Responsible Medicine,26
Bio Products Laboratory,26
Oswaldo Cruz Foundation,26
"XenoPort, Inc.",26
Legacy Health System,26
University of Magdeburg,26
University of Rostock,26
"AtriCure, Inc.",26
University of Modena and Reggio Emilia,26
"Melinta Therapeutics, Inc.",26
Bioprojet,26
Baycrest,26
Fuzhou General Hospital,26
Chelsea and Westminster NHS Foundation Trust,26
Moorfields Eye Hospital NHS Foundation Trust,26
Janssen Sciences Ireland UC,26
Hospital Sirio-Libanes,26
"OrthoCarolina Research Institute, Inc.",26
University Hospitals Coventry and Warwickshire NHS Trust,26
Wroclaw Medical University,26
George Mason University,26
Sharp HealthCare,26
Oticon Medical,26
Tianjin Medical University General Hospital,26
Damanhour University,26
The Third Xiangya Hospital of Central South University,26
Second Affiliated Hospital of Xi'an Jiaotong University,26
Trakya University,26
"All India Institute of Medical Sciences, Bhubaneswar",26
King Edward Medical University,26
Zhongnan Hospital,26
"Fifth Affiliated Hospital, Sun Yat-Sen University",26
São Paulo State University,26
"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation",26
Bahçeşehir University,26
Universidad Francisco de Vitoria,26
Muğla Sıtkı Koçman University,26
Louisiana State University Health Sciences Center Shreveport,25
University Hospital Birmingham,25
Lymphoma Study Association,25
Baptist Health South Florida,25
XOMA (US) LLC,25
Synta Pharmaceuticals Corp.,25
"Array Biopharma, now a wholly owned subsidiary of Pfizer",25
Anthera Pharmaceuticals,25
Merrimack Pharmaceuticals,25
ThromboGenics,25
Institute of Child Health,25
UCB Pharma SA,25
Groupe Oncologie Radiotherapie Tete et Cou,25
Public Health England,25
TNO,25
Lindner Center of HOPE,25
US Oncology Research,25
Wright State University,25
Norwegian Institute of Public Health,25
Osaka University,25
Tokyo University,25
CAMC Health System,25
Instituto Nacional de Cardiologia Ignacio Chavez,25
Instituto Nacional de Cancerologia de Mexico,25
Hiroshima University,25
CES University,25
Gulhane School of Medicine,25
Italfarmaco,25
University Rovira i Virgili,25
GWT-TUD GmbH,25
Nektar Therapeutics,25
Syndax Pharmaceuticals,25
Gruppo Oncologico del Nord-Ovest,25
Danderyd Hospital,25
University of Puerto Rico,25
Marquette University,25
"Janssen Scientific Affairs, LLC",25
University of Victoria,25
Ablynx,25
Derming SRL,25
Belfast Health and Social Care Trust,25
Stealth BioTherapeutics Inc.,25
USDA Beltsville Human Nutrition Research Center,25
"Oxford University Clinical Research Unit, Vietnam",25
"Military Institute of Medicine, Poland",25
Sansum Diabetes Research Institute,25
Schulthess Klinik,25
Brno University Hospital,25
CHA University,25
Zeynep Kamil Maternity and Pediatric Research and Training Hospital,25
General Hospital of Shenyang Military Region,25
Global Blood Therapeutics,25
"Beaver-Visitec International, Inc.",25
Fayoum University Hospital,25
Okan University,25
American College of Radiology Imaging Network,24
ZARS Pharma Inc.,24
Duramed Research,24
University of Plymouth,24
Population Council,24
Hoosier Cancer Research Network,24
"Ironwood Pharmaceuticals, Inc.",24
Suleyman Demirel University,24
A.O. Ospedale Papa Giovanni XXIII,24
Craig Hospital,24
Portola Pharmaceuticals,24
National Institute of Cancerología,24
Universidad de Guanajuato,24
Flanders Medical Research Program,24
Movetis,24
"Laboratorios Leti, S.L.",24
Soonchunhyang University Hospital,24
"University of Witwatersrand, South Africa",24
Centre d'Etudes et de Recherche pour l'Intensification du Traitement du Diabète,24
Statens Serum Institut,24
"Santen Pharmaceutical Co., Ltd.",24
Dallas VA Medical Center,24
Circassia Limited,24
Shandong Provincial Hospital,24
"Ocular Therapeutix, Inc.",24
Institut Straumann AG,24
Hanyang University,24
Lady Hardinge Medical College,24
Sensimed AG,24
Ospedale San Raffaele,24
Ardelyx,24
"Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",24
The Second Affiliated Hospital of Chongqing Medical University,24
Centre Hospitalier Régional Metz-Thionville,24
Azienda Ospedaliera Città della Salute e della Scienza di Torino,24
Yeungnam University College of Medicine,24
Boston College,24
Ziekenhuis Oost-Limburg,24
Saint-Joseph University,24
"Samsung Bioepis Co., Ltd.",24
Aretaieion University Hospital,24
Adiyaman University Research Hospital,24
"Prim. Prof. Dr. Oliver Findl, MBA",24
Riyadh Colleges of Dentistry and Pharmacy,24
Istituti Clinici Scientifici Maugeri SpA,24
CStone Pharmaceuticals,24
"Sinovac Research and Development Co., Ltd.",24
GCS Ramsay Santé pour l'Enseignement et la Recherche,24
National Institute of Environmental Health Sciences (NIEHS),23
Zeria Pharmaceutical,23
Human Genome Sciences Inc.,23
"Craig L Slingluff, Jr",23
"Sumitomo Pharma Co., Ltd.",23
Insmed Incorporated,23
Allergy Therapeutics,23
Rigel Pharmaceuticals,23
Onxeo,23
Oulu University Hospital,23
Acrotech Biopharma LLC,23
University of Rhode Island,23
Florida Atlantic University,23
Frederiksberg University Hospital,23
MaineHealth,23
University of North Texas Health Science Center,23
National University of Natural Medicine,23
Heron Therapeutics,23
University of Lisbon,23
Anhui Medical University,23
Hebrew SeniorLife,23
Shenyang Northern Hospital,23
Piramal Enterprises Limited,23
Rutgers University,23
Hospital Universitario de Canarias,23
Profil Institut für Stoffwechselforschung GmbH,23
SOLTI Breast Cancer Research Group,23
Larissa University Hospital,23
Wakayama Medical University,23
Sheffield Children's NHS Foundation Trust,23
Akros Pharma Inc.,23
Mbarara University of Science and Technology,23
St. Boniface Hospital,23
Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia,23
Cork University Hospital,23
Aeras,23
Azienda Ospedaliero Universitaria Maggiore della Carita,23
Sanaria Inc.,23
Liverpool School of Tropical Medicine,23
The Affiliated Hospital of the Chinese Academy of Military Medical Sciences,23
University of Memphis,23
Aziende Chimiche Riunite Angelini Francesco S.p.A,23
Centre Chirurgical Marie Lannelongue,23
Northeastern University,23
Cyprus University of Technology,23
"Saint Thomas Hospital, Panama",23
Guangdong Association of Clinical Trials,23
Alvogen Korea,23
SecuraBio,23
Swiss Paraplegic Centre Nottwil,23
Chuncheon Sacred Heart Hospital,23
Medical University of Lublin,23
Philips Clinical & Medical Affairs Global,23
AZ Sint-Jan AV,23
"Astellas Pharma China, Inc.",23
"NGM Biopharmaceuticals, Inc",23
OhioHealth,23
Antonios Likourezos,23
Wageningen University and Research,23
"University of Geneva, Switzerland",23
KGK Science Inc.,23
Universidad Nacional de Colombia,23
Sihuan Pharmaceutical Holdings Group Ltd.,23
Shanghai First Maternity and Infant Hospital,23
"National Research Centre, Egypt",23
I.R.C.C.S. Fondazione Santa Lucia,23
University Hospital of Patras,23
Fakultas Kedokteran Universitas Indonesia,23
"Sichuan Baili Pharmaceutical Co., Ltd.",23
Nathan Kline Institute for Psychiatric Research,22
"ImmunoGen, Inc.",22
Health Decisions,22
Threshold Pharmaceuticals,22
ApoPharma,22
Arcispedale Santa Maria Nuova-IRCCS,22
Foundation for Liver Research,22
University of Stellenbosch,22
University of Adelaide,22
Medtronic BRC,22
"National Development and Research Institutes, Inc.",22
"Hospira, now a wholly owned subsidiary of Pfizer",22
"AMAG Pharmaceuticals, Inc.",22
Allergopharma GmbH & Co. KG,22
University of Maryland,22
Winthrop University Hospital,22
Universidad Autonoma de San Luis Potosí,22
Centro Cardiologico Monzino,22
Kythera Biopharmaceuticals,22
Govind Ballabh Pant Hospital,22
University Hospital Plymouth NHS Trust,22
"UCB BIOSCIENCES, Inc.",22
GAAD Medical Research Institute Inc.,22
Kansas State University,22
Harvard Pilgrim Health Care,22
Liverpool University Hospitals NHS Foundation Trust,22
NHS Lothian,22
Institut Català d'Oncologia,22
Samyang Biopharmaceuticals Corporation,22
"Mondelēz International, Inc.",22
Chongqing Medical University,22
King Chulalongkorn Memorial Hospital,22
Federal University of Juiz de Fora,22
"Otonomy, Inc.",22
University Hospital Hradec Kralove,22
"National Research Council, Spain",22
"Gerencia de Atención Primaria, Madrid",22
University Hospital Padova,22
Mike O'Callaghan Military Hospital,22
Mansoura University Children Hospital,22
Professor Fernando Figueira Integral Medicine Institute,22
Centre of Postgraduate Medical Education,22
University of Minho,22
Oklahoma State University,22
Swansea University,22
Western Regional Medical Center,22
"Chipscreen Biosciences, Ltd.",22
"Mirum Pharmaceuticals, Inc.",22
Hebei Medical University Fourth Hospital,22
ARCIM Institute Academic Research in Complementary and Integrative Medicine,22
"Beijing Pins Medical Co., Ltd",22
"Goldman, Butterwick, Fitzpatrick and Groff",22
Atridia Pty Ltd.,22
Jena University Hospital,22
First Affiliated Hospital of Fujian Medical University,22
"Klein Buendel, Inc.",22
Neurological Associates of West Los Angeles,22
"Mitsubishi Tanabe Pharma Development America, Inc.",22
Yeditepe University,22
"Arcutis Biotherapeutics, Inc.",22
Fatih Sultan Mehmet Training and Research Hospital,22
Pharmtechnology LLC,22
Addpharma Inc.,22
Ziauddin University,22
"Cerevel Therapeutics, LLC",22
"Haisco Pharmaceutical Group Co., Ltd.",22
Elsan,22
Allegheny Singer Research Institute (also known as Allegheny Health Network Research Institute),21
Ligand Pharmaceuticals,21
Hoag Memorial Hospital Presbyterian,21
AGO Study Group,21
Intarcia Therapeutics,21
Avanir Pharmaceuticals,21
Telik,21
Ono Pharma USA Inc,21
"CASI Pharmaceuticals, Inc.",21
Griffin Hospital,21
NICHD Global Network for Women's and Children's Health,21
"Infinity Pharmaceuticals, Inc.",21
MEDA Pharma GmbH & Co. KG,21
John H. Stroger Hospital,21
United States Army Institute of Surgical Research,21
Beersheva Mental Health Center,21
Inge Marie Svane,21
International Extranodal Lymphoma Study Group (IELSG),21
Dey,21
"Ministry of Health, Malaysia",21
University of Vigo,21
Vilnius University,21
Southern Illinois University,21
Morphotek,21
Innovaderm Research Inc.,21
"CymaBay Therapeutics, Inc.",21
Stallergenes Greer,21
LifeBridge Health,21
SymBio Pharmaceuticals,21
Assuta Hospital Systems,21
"Horizon Pharma Ireland, Ltd., Dublin Ireland",21
Theracos,21
Organogenesis,21
Vifor Pharma,21
Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives,21
Innocoll,21
Newron Pharmaceuticals SPA,21
Peking Union Medical College,21
Duquesne University,21
Zambon SpA,21
Biotronik AG,21
Air Liquide Santé International,21
"Athenex, Inc.",21
Simon Fraser University,21
Malaysia Palm Oil Board,21
Texas Cardiac Arrhythmia Research Foundation,21
Queen Margaret University,21
European Myeloma Network,21
Philips Healthcare,21
Universidad de Valparaiso,21
"Shanghai MicroPort Medical (Group) Co., Ltd.",21
"Cara Therapeutics, Inc.",21
"University of Alabama, Tuscaloosa",21
Baylor University,21
Livzon Pharmaceutical Group Inc.,21
Australian and New Zealand Intensive Care Research Centre,21
University Hospital Center of Martinique,21
"Azienda Ospedaliero, Universitaria Pisana",21
Jhpiego,21
"Chung-Ang University Hosptial, Chung-Ang University College of Medicine",21
"Esperion Therapeutics, Inc.",21
Hunter College of City University of New York,21
Yaounde Central Hospital,21
Reproductive Medicine Associates of New Jersey,21
"Centro Universitario de Ciencias de la Salud, Mexico",21
Lumenis Ltd.,21
Bagcilar Training and Research Hospital,21
"Intra-Cellular Therapies, Inc.",21
"Il-Yang Pharm. Co., Ltd.",21
Dalin Tzu Chi General Hospital,21
Brock University,21
Alios Biopharma Inc.,21
Jiangxi Qingfeng Pharmaceutical Co. Ltd.,21
"Novan, Inc.",21
University of Primorska,21
Maltepe University,21
University of Vienna,21
Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,21
Advocate Health Care,21
SVS Institute of Dental Sciences,21
"Vitaflo International, Ltd",21
University of Notre Dame,21
"Kite, A Gilead Company",21
The First Affiliated Hospital of Dalian Medical University,21
South Egypt Cancer Institute,21
"University of Split, School of Medicine",21
The Affiliated Hospital of Xuzhou Medical University,21
Qianfoshan Hospital,21
Lei Li,21
"Genor Biopharma Co., Ltd.",21
"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",21
Istinye University,21
"Chongqing Precision Biotech Co., Ltd",21
"Mabwell (Shanghai) Bioscience Co., Ltd.",21
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",21
Vion Pharmaceuticals,20
The George Washington University Biostatistics Center,20
Sangamo Therapeutics,20
Connecticut Children's Medical Center,20
Lantheus Medical Imaging,20
AO Clinical Investigation and Publishing Documentation,20
State University of New York - Downstate Medical Center,20
"Janssen-Ortho Inc., Canada",20
Università Politecnica delle Marche,20
Egalet Ltd,20
German Institute of Human Nutrition,20
BioDelivery Sciences International,20
Michael E. DeBakey VA Medical Center,20
University of KwaZulu,20
Dynavax Technologies Corporation,20
E-DA Hospital,20
University of Witten/Herdecke,20
Southern California Institute for Research and Education,20
Spanish Oncology Genito-Urinary Group,20
NHS Tayside,20
Hunter Holmes Mcguire Veteran Affairs Medical Center,20
UCB BIOSCIENCES GmbH,20
Fondazione Salvatore Maugeri,20
"Instituto Grifols, S.A.",20
Nutricia UK Ltd,20
ConvaTec Inc.,20
"Kyowa Hakko Kirin Pharma, Inc.",20
"Tasly Pharmaceuticals, Inc.",20
Italian Sarcoma Group,20
Texas Christian University,20
"Sierra Oncology, Inc.",20
"Anterogen Co., Ltd.",20
"Naurex, Inc, an affiliate of Allergan plc",20
The Second Hospital of Tangshan,20
Direction Centrale du Service de Santé des Armées,20
Shanghai Public Health Clinical Center,20
University of Erlangen-Nürnberg,20
Centro Universitário Augusto Motta,20
Nutricia Research,20
University of Genova,20
"Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation",20
Université Libre de Bruxelles,20
New York City Health and Hospitals Corporation,20
CEU San Pablo University,20
"Lifetech Scientific (Shenzhen) Co., Ltd.",20
Hospital Moinhos de Vento,20
"Biosplice Therapeutics, Inc.",20
F2G Biotech GmbH,20
Konya Meram State Hospital,20
Cumhuriyet University,20
"Apellis Pharmaceuticals, Inc.",20
"Church & Dwight Company, Inc.",20
Sakarya University,20
Bulent Ecevit University,20
Azienda di Servizi alla Persona di Pavia,20
The First People's Hospital of Changzhou,20
"Axsome Therapeutics, Inc.",20
Czech Technical University in Prague,20
Shanghai Proton and Heavy Ion Center,20
Umm Al-Qura University,20
Vinmec Research Institute of Stem Cell and Gene Technology,20
Universidad de León,20
"Johnson & Johnson Surgical Vision, Inc.",20
Sadat City University,20
University of Karachi,20
Keymed Biosciences Co.Ltd,20
"Janssen, LP",19
Peregrine Pharmaceuticals,19
GTx,19
Sarcoma Alliance for Research through Collaboration,19
NORCE Norwegian Research Centre AS,19
"Hillerod Hospital, Denmark",19
"Sanwa Kagaku Kenkyusho Co., Ltd.",19
Omeros Corporation,19
Syracuse University,19
medac GmbH,19
Hill-Rom,19
Can-Fite BioPharma,19
AGC Biologics S.p.A.,19
University of Pernambuco,19
University Hospitals Bristol and Weston NHS Foundation Trust,19
Faculdade de Medicina do ABC,19
Hebrew University of Jerusalem,19
Madigan Army Medical Center,19
Hormozgan University of Medical Sciences,19
Therapeutic Advances in Childhood Leukemia Consortium,19
Marinus Pharmaceuticals,19
Azienda Policlinico Umberto I,19
ASST Fatebenefratelli Sacco,19
Tracon Pharmaceuticals Inc.,19
Diurnal Limited,19
"Rockwell Medical Technologies, Inc.",19
Douglas Mental Health University Institute,19
Danisco,19
"Xencor, Inc.",19
Universidade Federal do Ceara,19
Örebro County Council,19
"Amphastar Pharmaceuticals, Inc.",19
Labopharm Inc.,19
Grupo Español de Linfomas y Transplante Autólogo de Médula Ósea,19
Meda Pharmaceuticals,19
Trius Therapeutics LLC,19
"Verastem, Inc.",19
Navidea Biopharmaceuticals,19
Johns Hopkins All Children's Hospital,19
Cardiff and Vale University Health Board,19
Tongji University,19
"Nihon Pharmaceutical Co., Ltd",19
Beijing Hospital,19
University of Siena,19
Bozyaka Training and Research Hospital,19
Institut Universitari Dexeus,19
Carl Zeiss Meditec AG,19
University of the Philippines,19
GlycoMimetics Incorporated,19
Baker Heart and Diabetes Institute,19
University of Ioannina,19
Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer,19
"Dong-A Pharmaceutical Co., Ltd.",19
Second Military Medical University,19
Inha University Hospital,19
Beijing Jishuitan Hospital,19
University Medical Center Goettingen,19
Brasilia University Hospital,19
Sanford Health,19
University of Catania,19
Genfit,19
Vaxart,19
Gadjah Mada University,19
Fidia Farmaceutici s.p.a.,19
Iuliu Hatieganu University of Medicine and Pharmacy,19
Henan University of Traditional Chinese Medicine,19
Utah State University,19
Major Extremity Trauma Research Consortium,19
Universidade Federal de Santa Catarina,19
University of Nebraska Lincoln,19
Nottingham Trent University,19
"Shanghai Institute of Acupuncture, Moxibustion and Meridian",19
Hallym University Kangnam Sacred Heart Hospital,19
Hanyang University Seoul Hospital,19
Englewood Hospital and Medical Center,19
"IRCCS San Camillo, Venezia, Italy",19
Laboratorios Andromaco S.A.,19
Probi AB,19
"National University Health System, Singapore",19
"National Rehabilitation Center, Seoul, Korea",19
Qassim University,19
Biosearch S.A.,19
Ospedale Generale Di Zona Moriggia-Pelascini,19
Tata Memorial Centre,19
Teesside University,19
Ningbo No. 1 Hospital,19
Xuzhou Medical University,19
SMG-SNU Boramae Medical Center,19
Universiti Tunku Abdul Rahman,19
University Hospital Bispebjerg and Frederiksberg,19
Anhui Provincial Hospital,19
HonorHealth Research Institute,19
Asir John Samuel,19
Reproductive & Genetic Hospital of CITIC-Xiangya,19
Hunan Cancer Hospital,19
"Ascletis Pharmaceuticals Co., Ltd.",19
"Beijing Immunochina Medical Science & Technology Co., Ltd.",19
"Loxo Oncology, Inc.",19
"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",19
"Arcus Biosciences, Inc.",19
Women's Hospital School Of Medicine Zhejiang University,19
Afyonkarahisar Health Sciences University,19
Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus,19
"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",18
"Scios, Inc.",18
Photocure,18
Oncotherapeutics,18
"CytoDyn, Inc.",18
Herning Hospital,18
University of Oslo School of Pharmacy,18
White River Junction Veterans Affairs Medical Center,18
The Royal Bournemouth Hospital,18
"City, University of London",18
Cerecin,18
Northern State Medical University,18
Herzog Hospital,18
"Kastle Therapeutics, LLC",18
Tulane University School of Medicine,18
"Universidad de los Andes, Chile",18
Cytos Biotechnology AG,18
Isala,18
"Orexigen Therapeutics, Inc",18
Association Francaise pour la Recherche Thermale,18
VA Boston Healthcare System,18
Oklahoma State University Center for Health Sciences,18
"BioLineRx, Ltd.",18
University Hospital Dubrava,18
"Horizon Pharma USA, Inc.",18
Tibotec BVBA,18
Juan A. Arnaiz,18
University of Vermont Medical Center,18
ElectroCore INC,18
FORUM Pharmaceuticals Inc,18
"Northside Hospital, Inc.",18
Fresenius Medical Care Deutschland GmbH,18
Fundacion SEIMC-GESIDA,18
IVI Madrid,18
"Tris Pharma, Inc.",18
Metabolic Technologies Inc.,18
Brainsway,18
Centre de Recherche de l'Institut Universitaire de Cardiologie et de Pneumologie de Quebec,18
Southern Methodist University,18
Medicago,18
Andalusian Initiative for Advanced Therapies - Fundación Pública Andaluza Progreso y Salud,18
Guangzhou First People's Hospital,18
University of Hull,18
University of Iceland,18
"Oregon Center for Applied Science, Inc.",18
Center Eugene Marquis,18
North Dakota State University,18
PhaseBio Pharmaceuticals Inc.,18
Amorepacific Corporation,18
Polaris Group,18
"Flexion Therapeutics, Inc.",18
Mundipharma (China) Pharmaceutical Co. Ltd,18
"USWM, LLC (dba US WorldMeds)",18
InCor Heart Institute,18
Azienda Ospedaliero-Universitaria di Parma,18
Mustafa Kemal University,18
RedHill Biopharma Limited,18
Università degli Studi di Sassari,18
Aslan Pharmaceuticals,18
Lo.Li.Pharma s.r.l,18
Universidade Norte do Paraná,18
"Rhythm Pharmaceuticals, Inc.",18
Shin Poong Pharmaceutical Co. Ltd.,18
Azienda Unità Sanitaria Locale Reggio Emilia,18
Food and Drug Administration (FDA),18
NVP Healthcare,18
D'Or Institute for Research and Education,18
AC Camargo Cancer Center,18
Neuromed IRCCS,18
Kaohsiung Medical University,18
Abivax S.A.,18
Universidad San Jorge,18
ADC Therapeutics S.A.,18
"Huons Co., Ltd.",18
"Alliance Foundation Trials, LLC.",18
Neutec Ar-Ge San ve Tic A.Ş,18
Cyclerion Therapeutics,18
Tel Hai College,18
University of Medicine and Pharmacy at Ho Chi Minh City,18
"University of Arkansas, Fayetteville",18
Hellenic Institute for the Study of Sepsis,18
"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",18
National Taiwan University Hospital Hsin-Chu Branch,18
"Nanjing Sanhome Pharmaceutical, Co., Ltd.",18
Shanghai Miracogen Inc.,18
The Scripps Research Institute,17
"Mt. Sinai Medical Center, Miami",17
Roger Williams Medical Center,17
Facet Biotech,17
NeurogesX,17
La Jolla Pharmaceutical Company,17
Transgene,17
Nabi Biopharmaceuticals,17
Agennix,17
Kyoto University,17
ChemoCentryx,17
"Graceway Pharmaceuticals, LLC",17
The University of Western Australia,17
"Manhattan Eye, Ear & Throat Hospital",17
Hamamatsu University,17
University of Johannesburg,17
"Impax Laboratories, LLC",17
Oregon Social Learning Center,17
Accelerated Community Oncology Research Network,17
Saint John's Cancer Institute,17
Hellenic Cooperative Oncology Group,17
Nycomed,17
Loewenstein Hospital,17
Austrian Breast & Colorectal Cancer Study Group,17
MediciNova,17
Kantonsspital Aarau,17
Hospital Universitario Ramon y Cajal,17
Ferrer Internacional S.A.,17
"National Science Council, Taiwan",17
"Sucampo Pharma Americas, LLC",17
Sunnaas Rehabilitation Hospital,17
Phramongkutklao College of Medicine and Hospital,17
Intercept Pharmaceuticals,17
Pharmanex,17
Johnson & Johnson Taiwan Ltd,17
PhytoHealth Corporation,17
Masaryk University,17
Abiomed Inc.,17
Grupo Espanol de Investigacion en Sarcomas,17
West Park Healthcare Centre,17
Université du Québec à Trois-Rivières,17
"AcelRx Pharmaceuticals, Inc.",17
University of South Alabama,17
"Joanne Kurtzberg, MD",17
University College Hospital Galway,17
"Helixmith Co., Ltd.",17
