NO,name,smi,Dataset,logPapp
A-364,neolignan smi02,O1c2c(cc(cc2OC)\C=C\C)C(C)C1c1cc(OC)c(O)c(OC)c1,Tr,-5.3400002
A-367,neolignan smi05,O(C(Cc1cc(OC)c(OC)c(OC)c1)C)c1c(OC)cc(cc1OC)CC=C,Tr,-4.73
A-37,ampicillin,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,Tr,-5.6999998
A-370,neolignan smi08,O(C(C(O)c1cc(OC)c(OC)c(OC)c1)C)c1c(OC)cc(cc1OC)CC=C,Tr,-4.5500002
A-371,neolignan smi09,O(C(C(O)c1cc(OC)c(O)cc1)C)c1c(OC)cc(cc1OC)CC=C,Tr,-4.5100002
A-375,nicotine,n1cc(ccc1)C1N(CCC1)C,Tr,-4.71
A-378,ofloxacin,Fc1cc2c3N(C=C(C(O)=O)C2=O)C(COc3c1N1CCN(CC1)C)C,Tr,-4.79
A-384,oxacillin,Clc1ccccc1-c1noc(C)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,Tr,-5.5799999
A-386,oxprenolol,O(CC(O)CNC(C)C)c1ccccc1OCC=C,Tr,-4.6799998
A-387,oxprenolol ester,O(CC=C)c1ccccc1OC[C@H](OC(=O)C1CC1)CNC(C)C,Tr,-4.5450001
A-389,pefloxacin,Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCN(CC1)C,Tr,-4.5999999
A-39,antipyrine,O=C1N(N(C)C(=C1)C)c1ccccc1,Tr,-4.4699998
A-391,phenatoin,O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,Tr,-4.5300002
A-393,phenylcarbamic acid ester V,[Cl-].O(CC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-4.5500002
A-394,phenylcarbamic acid ester VIII,[Cl-].O(CCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-4.5700002
A-395,phenylcarbamic acid ester XI,[Cl-].O(CCCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-4.5900002
A-403,PNU200001,[nH]1c2c(nc1Cc1[nH]c3c(n1)cccc3)cc(cc2)C(N)=N,Tr,-6.6999998
A-405,PNU200647,O\N=C(\N)/c1cc2nc([nH]c2cc1)-c1ncccc1,Tr,-4.6500001
A-406,PNU200648,[nH]1c2c(nc1Cc1[nH]c3c(n1)cc(cc3)C(N)=N)nccc2C,Tr,-7.0500002
A-408,PNU200969,O(CC)C(=O)NC(=N)c1cc2nc([nH]c2cc1)Cc1[nH]c2c(n1)cccc2,Tr,-6.1500001
A-411,pravastatin,O(C(=O)[C@H](CC)C)[C@@H]1[C@H]2C(=C[C@@H](O)C1)C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O,Tr,-5.8400002
A-412,prazosin,o1cccc1C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1,Tr,-4.987
A-413,prednisolone,O=C1C=C2CC[C@@H]3[C@@H]([C@]2(C=C1)C)[C@@H](O)C[C@]1([C@H]3CC[C@]1(O)C(=O)CO)C,Tr,-4.7199998
A-414,preladenant,o1cccc1-c1nc-2n(n1)C(=Nc1n(ncc1-2)CCN1CCN(CC1)c1ccc(OCCOC)cc1)N,Tr,-5.3499999
A-415,progesterone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](C(=O)C)[C@]4(CC3)C)CCC2=C1)C,Tr,-4.625
A-416,propofol,Oc1c(cccc1C(C)C)C(C)C,Tr,-4.77
A-417,propranolol,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,Tr,-4.5799999
A-418,propranolol ester,O(C[C@H](OC(=O)C1CC1)CNC(C)C)c1c2c(ccc1)cccc2,Tr,-4.5100002
A-420,propylthiouracil,S=C1NC(=CC(=O)N1)CCC,Tr,-4.1631713
A-422,puerarin ,O1[C@H]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1c2OC=C(C(=O)c2ccc1O)c1ccc(O)cc1,Tr,-6.4000001
A-423,quercetagetin,O1c2c(C(=O)C(O)=C1c1cc(O)c(O)cc1)c(O)c(O)c(O)c2,Tr,-6.6999998
A-424,"quercetagetin-3,6,7-trimethylether",O1c2c(C(=O)C(OC)=C1c1cc(O)c(O)cc1)c(O)c(OC)c(OC)c2,Tr,-5.0900002
A-427,quinidine,O(C)c1cc2c(nccc2[C@H](O)[C@@H]2N3C[C@@H]([C@H](C2)CC3)C=C)cc1,Tr,-4.6900001
A-428,raffinose,O1[C@](O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO,Tr,-7.6199999
A-43,artesunate,O1[C@@H]2O[C@@]3(OO[C@]24[C@@H](CC[C@H]([C@@H]4CC3)C)[C@@H](C)[C@@H]1OC(=O)CCC(O)=O)C,Tr,-5.4000001
A-430,rapamycin,O1[C@@H](CC(=O)[C@@H](\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](\C=C\C=C\C=C(/C)\[C@@H](OC)C[C@H]2O[C@](O)([C@@H](CC2)C)C(=O)C(=O)N2[C@@H](CCCC2)C1=O)C)C)C)[C@@H](C[C@H]1C[C@@H](OC)[C@H](O)CC1)C,Tr,-4.96
A-436,SACV,O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)CO,Tr,-5.3299999
A-441,scopolamine,O1[C@H]2[C@H]3N([C@@H]([C@@H]12)CC(OC(=O)[C@H](CO)c1ccccc1)C3)C,Tr,-4.928
A-442,scutellarein ,O1c2c(c(O)c(O)c(O)c2)C(=O)C=C1c1ccc(O)cc1,Tr,-5.1999998
A-444,selagin,O1c2c(C(=O)C=C1c1cc(OC)c(O)c(O)c1)c(O)cc(O)c2,Tr,-6
A-445,serotonin,Oc1cc2c([nH]cc2CCN)cc1,Tr,-4.8600001
A-446,sildenafil,S(=O)(=O)(N1CCN(CC1)C)c1cc(C2=NC(=O)c3n(nc(c3N2)CCC)C)c(OCC)cc1,Tr,-4.5100002
A-448,sotalol,S(=O)(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C,Tr,-5.7600002
A-45,atropine,O(C(=O)C(CO)c1ccccc1)C1C[C@@H]2N([C@H](C1)CC2)C,Tr,-4.6999998
A-450,sulfadiazine,S(=O)(=O)(Nc1ncccn1)c1ccc(N)cc1,Tr,-4.75
A-452,sulfanilamide,S(=O)(=O)(N)c1ccc(N)cc1,Tr,-5.2600002
A-453,sulfapyridine,S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,Tr,-5
A-454,sulfasalazine,S(=O)(=O)(Nc1ncccc1)c1ccc(\N=N\c2cc(C(O)=O)c(O)cc2)cc1,Tr,-5.378171
A-455,sulfisoxazole,S(=O)(=O)(Nc1onc(C)c1C)c1ccc(N)cc1,Tr,-4.9200001
A-456,sulindac,S(=O)(C)c1ccc(cc1)\C=C\1/c2c(cc(F)cc2)C(CC(O)=O)=C/1C,Tr,-4.8899999
A-463,tangeretin,O1c2c(c(OC)c(OC)c(OC)c2OC)C(=O)C=C1c1ccc(OC)cc1,Tr,-4.5300002
A-47,baicalein ,O1c2c(c(O)c(O)c(O)c2)C(=O)C=C1c1ccccc1,Tr,-5.1399999
A-470,telmisartan,OC(=O)c1ccccc1-c1ccc(cc1)Cn1c2c(nc1CCC)c(cc(c2)-c1nc2c(n1C)cccc2)C,Tr,-4.8210001
A-471,tenidap,Clc1cc2c(N(C(=O)N)C(=O)C2C(=O)c2sccc2)cc1,Tr,-4.5700002
A-472,tenoxicam,O1CCCC1C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1,Tr,-4.6100001
A-473,terazosin,s1c2c(S(=O)(=O)N(C)\C(=C(/O)\Nc3ncccc3)\C2=O)cc1,Tr,-5.0900002
A-475,testosterone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](O)[C@]4(CC3)C)CCC2=C1)C,Tr,-4.4299998
A-477,theophylline,O=C1N(C)C(=O)N(c2nc[nH]c12)C,Tr,-4.3499999
A-478,tiacrilast,S(C)c1cc2c(N=CN(\C=C\C(O)=O)C2=O)cc1,Tr,-4.9850001
A-479,tiaprofenic acid,s1c(ccc1C(C(O)=O)C)C(=O)c1ccccc1,Tr,-4.4099998
A-48,baicalin ,O1c2c(c(O)c(O)c(O[C@@H]3O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]3O)c2)C(=O)C=C1c1ccccc1,Tr,-6.77
A-480,timolol,s1nc(N2CCOCC2)c(OC[C@@H](O)CNC(C)(C)C)n1,Tr,-4.8930001
A-481,timolol ester,s1nc(N2CCOCC2)c(OC[C@@H](OC(=O)C2CC2)CNC(C)(C)C)n1,Tr,-4.6350002
A-482,tiotidine,s1cc(nc1N=C(N)N)CSCCN\C(=N\C)\NC#N,Tr,-5.8800001
A-488,"tricetin-3`,4`,5`-trimethylether",O1c2c(C(=O)C=C1c1cc(OC)c(OC)c(OC)c1)c(O)cc(O)c2,Tr,-5.0999999
A-489,trimethoprim,O(C)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,Tr,-4.46
A-490,trovafloxacin,Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(nc12)N1C[C@@H]2[C@H](C1)C2N,Tr,-4.8099999
A-491,tryptophan,OC(=O)C(N)Cc1c2c([nH]c1)cccc2,Tr,-5.3899999
A-492,tryptophanamide,O=C(N)C(N)Cc1c2c([nH]c1)cccc2,Tr,-4.9200001
A-495,ursolic acid,O[C@H]1CC[C@]2([C@@H](CC[C@@]3([C@@H]2CC=C2[C@@H]4[C@@H](C)[C@@H](CC[C@@]4(CC[C@]23C)C(O)=O)C)C)C1(C)C)C,Tr,-5.5500002
A-496,VACV,O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)C(C)C,Tr,-5.3499999
A-499,verapamil,O(C)c1cc(ccc1OC)C(C(C)C)(CCCN(CCc1cc(OC)c(OC)cc1)C)C#N,Tr,-4.5799999
A-50,benzoic acid,OC(=O)c1ccccc1,Tr,-4.0050001
A-500,vinblastine,O(C)c1cc2N([C@@H]3[C@@]4([C@H]5N(CC=C[C@@]5(CC)[C@@H](OC(=O)C)[C@]3(O)C(OC)=O)CC4)c2cc1[C@@]1(c2[nH]c3c(c2CCN2C[C@@](O)(C[C@@H](C1)C2)CC)cccc3)C(OC)=O)C,Tr,-5.48
A-502,VLA-4 antagonist 2,S1CN(S(=O)(=O)c2cn(nc2)C)[C@H](C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(OCC)=O)C1(C)C,Tr,-5.3699999
A-503,VLA-4 antagonist 3,S1CN(S(=O)(=O)c2cn(nc2)C)[C@H](C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(OC(C)C)=O)C1(C)C,Tr,-5.1700001
A-504,VLA-4 antagonist 4,S1CN(S(=O)(=O)c2cn(nc2)C)[C@H](C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(OCC(C)(C)C)=O)C1(C)C,Tr,-5.3400002
A-505,VLA-4 antagonist 5,S1CN(S(=O)(=O)c2cn(nc2)C)[C@H](C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(OCOC(=O)C(C)(C)C)=O)C1(C)C,Tr,-5.5999999
A-506,VLA-4 antagonist 6,S1CN(S(=O)(=O)c2cn(nc2)C)[C@H](C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(OCCOCCOC)=O)C1(C)C,Tr,-5.6900001
A-508,warfarin,O1c2c(cccc2)C(O)=C(C(CC(=O)C)c2ccccc2)C1=O,Tr,-4.6300001
A-509,wogonin,O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2OC,Tr,-4.6300001
A-51,benzylpenicillin,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1,Tr,-6.0250001
A-512,zaltoprofen,S1c2c(cccc2)C(=O)Cc2cc(ccc12)C(C(O)=O)C,Tr,-4.4000001
A-513,zidovudine,O1[C@H](CO)[C@@H](N=[N+]=[N-])C[C@@H]1N1C=C(C)C(=O)NC1=O,Tr,-5.0599999
A-55,bremazocine,OC1(CC1)CN1C2Cc3c(cc(O)cc3)C(CC1)(CC)C2(C)C,Tr,-4.96
A-58,bromocriptine,Brc1[nH]c2c3c1C[C@H]1N(C[C@@H](C=C1c3ccc2)C(=O)N[C@@]1(O[C@]2(O)N([C@@H](CC(C)C)C(=O)N3[C@H]2CCC3)C1=O)C(C)C)C,Tr,-5.9099998
A-59,budesonide,O1[C@@]2([C@H](OC1CCC)C[C@H]1[C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C[C@@]12C)C(=O)CO,Tr,-4.8899999
A-62,CA-DADLE,O1c2c(\C=C/C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](C)C(=O)NCC(=O)N[C@H](Cc3ccccc3)C(=O)N[C@H](CC(C)C)C1=O)cccc2,Tr,-5.8800001
A-65,CA-Leu-Enk,O1c2c(\C=C/C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](C)C(=O)NCC(=O)N[C@H](CC3CCCCC3)C(=O)N[C@H](CC(C)C)C1=O)cccc2,Tr,-6.4699998
A-66,camptothecin,O1CC2=C(C=C3N(Cc4c3nc3c(c4)cccc3)C2=O)[C@@](O)(CC)C1=O,Tr,-4.1100001
A-7,"(2E,4Z)-N-(2-methylbutyl)dodeca-2,4-diene-8,10-diynamide",O=C(NCC(CC)C)\C=C\C=C/CCC#CC#CC,Tr,-3.78
A-73,carboxamido 28,s1ccnc1NC(=O)c1cc(F)c(NC(=O)CC(C)(C)C)c(F)c1,Tr,-4.0599999
A-75,cefazolin,s1c(nnc1SCC=1CS[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)Cn1nnnc1)C,Tr,-6.23
A-78,ceftriaxone,s1cc(nc1N)/C(=N/OC)/C(=O)N[C@H]1[C@H]2SCC(CSC3=NC(=O)C(=O)NN3C)=C(N2C1=O)C(O)=O,Tr,-6.7649999
A-80,cephalexin,S1C2N(C(=O)C2NC(=O)C(N)c2ccccc2)C(C(O)=O)=C(C1)C,Tr,-6.3600001
A-81,cephalexin acetylated,S1C2N(C(=O)C2NC(=O)C(NC(=O)C)c2ccccc2)C(C(O)=O)=C(C1)C,Tr,-6.6300001
A-84,CFPN-PI,Cl.s1cc(nc1N)/C(=C/CC)/C(=O)N[C@H]1[C@H]2SCC(COC(=O)N)=C(N2C1=O)C(OCOC(=O)C(C)(C)C)=O.O,Tr,-5.1100001
A-91,cimetidine,S(Cc1[nH]cnc1C)CCN\C(=N\C)\NC#N,Tr,-5.9000001
A-94,clonidine,Clc1cccc(Cl)c1NC=1NCCN=1,Tr,-4.5799999
A-95,clozapine,Clc1cc2N=C(N3CCN(CC3)C)c3c(Nc2cc1)cccc3,Tr,-4.5100002
A-97,CNV 97101,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)C)C,Tr,-4.6599998
A-99,CNV 97103,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CCC)C,Tr,-4.8200002
B-520,2,S(=O)(=O)(N[C@@H](Cc1ccc(cc1)C(N)=N)C(=O)N(C)C1CCCC1)c1cc2c(cc1)cccc2,Tr,-6.6989698
B-521,16,n1n(ccc1)Cc1cc(ccc1)C#N,Tr,-4.143271
B-522,26,OC(=O)c1cc(ccc1)Cc1ncccn1,Tr,-5.2146702
B-523,15,S(=O)(=O)(N)c1ccc(cc1)Cn1c2c(nc1)cccc2,Tr,-4.630784
B-524,8,n1c2c(n(c1)Cc1cc(ccc1)C#N)cccc2,Tr,-4.1817741
B-526,25,OC(=O)c1cc(ccc1)Cn1nccc1,Tr,-5.5331326
B-527,40,n1c2c(n(c1)Cc1cc(N)ccc1)cccc2,Tr,-4.2410879
B-528,11,OC(=O)c1ccc(cc1)Cn1c2c(nc1)cccc2,Tr,-5.4962091
B-529,34,n1cccnc1Cc1cc(ccc1)CN,Tr,-4.5968795
B-531,18,OC(=O)c1ccc(cc1)Cn1nccc1,Tr,-5.4365191
B-535,41,S(=O)(=O)(Nc1cc(ccc1)Cn1c2c(nc1)cccc2)C,Tr,-4.630784
B-536,2,n1ccn(c1)Cc1cc(ccc1)C#N,Tr,-4.1687703
B-537,27,OC(=O)c1ccc(cc1)Cc1ncccn1,Tr,-5.2684112
B-538,31,O=C(N)c1cc(ccc1)Cc1ncccn1,Tr,-4.4609237
B-539,20,n1cccnc1Cc1cc(ccc1)C#N,Tr,-4.1758742
B-540,29,O=C(N)c1cc(ccc1)Cn1c2c(nc1)cccc2,Tr,-4.6003261
B-542,32,n1c2c(n(c1)Cc1cc(ccc1)CN)cccc2,Tr,-4.5590911
B-543,1,n1ccn(c1)Cc1ccccc1,Tr,-4.166853
B-544,28,O=C(N)c1cc(ccc1)Cn1ccnc1,Tr,-5.1643095
B-546,7,Clc1ccc(S(=O)(=O)NC)cc1,Tr,-4.186419
B-548,6,Clc1ccc(S(=O)(=O)N)cc1,Tr,-4.2620125
B-549,Diazepam,Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,Tr,-3.924453
B-551,Hydrocortisone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@](O)(C(=O)CO)[C@]4(C[C@@H]3O)C)CCC2=C1)C,Tr,-4.5686364
B-552,Nordazepam,Clc1cc2c(NC(=O)CN=C2c2ccccc2)cc1,Tr,-4.0177288
B-554,Practolol,O(CC(O)CNC(C)C)c1ccc(NC(=O)C)cc1,Tr,-5.7447276
B-555,Amiloride,Clc1nc(C(=O)NC(N)=N)c(nc1N)N,Tr,-6.251812
B-556,Alprenolol,O(CC(O)CNC(C)C)c1ccccc1CC=C,Tr,-3.8376529
B-557,Antipyrin,O=C1N(N(C)C(=C1)C)c1ccccc1,Tr,-3.8905354
B-560,Oxazepam,Clc1cc2c(NC(=O)C(O)N=C2c2ccccc2)cc1,Tr,-4.0409584
B-561,"UK-92480, Sildenafil",S(=O)(=O)(N1CCN(CC1)C)c1cc(C=2NC(=O)c3n(nc(c3N=2)CCC)C)c(OCC)cc1,Tr,-4.318759
B-563,Cimetidine,S(Cc1nc[nH]c1C)CC\N=C(\NC#N)/NC,Tr,-6.0420098
B-564,Lactulose,O1[C@](O)(CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1CO,Tr,-6.5457573
B-573,Lef53,Oc1ccc(cc1)C[C@H](N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N,Tr,-7.4317985
B-575,15j,Brc1cccc(F)c1CN1C(=O)N(c2cccc(OC)c2F)C(=O)N(C[C@H](N)c2ccccc2)C1=O,Tr,-4.8569851
B-576,15f,Fc1c(N2C(=O)N(Cc3ccccc3C#N)C(=O)N(C[C@H](N)c3ccccc3)C2=O)cccc1OC,Tr,-4.5917602
B-577,65,s1c(C(=O)C)c(nc1NC(=O)N[C@@H]1CCCC[C@H]1CN1C[C@@H](CCC1)Cc1ccc(F)cc1)C,Tr,-5.221849
B-579,32,Fc1ccc(cc1)C[C@@H]1CCCN(C1)C[C@@H]1CCCC[C@H]1NC(=O)Nc1cc(ccc1)C(=O)C,Tr,-4.9586072
B-592,Lobucavir,Oc1nc(nc2n(cnc12)[C@@H]1C[C@H](CO)[C@H]1CO)N,Tr,-6.0555172
B-597,Metoprolol,O(CC(O)CNC(C)C)c1ccc(cc1)CCOC,Tr,-4.3493013
B-598,Digoxin,O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@H](C[C@@H](O)[C@]12C)[C@@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@H](O)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,Tr,-5.8860564
B-600,Valaciclovir,O=C1N=C(Nc2n(cnc12)COCCOC(=O)[C@@H](N)C(C)C)N,Tr,-5.6382723
B-618,Propranolol,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,Tr,-4.4639468
B-620,9,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)CN[C@H](C(=O)NCC(C)C)C)CCC1C[C@@H]1C)C,Tr,-4.6197886
B-622,4b,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)CN[C@H](C(=O)NCC(C)C)C)C(=O)N[C@H](C)c1ccc(F)cc1)C,Tr,-5
B-624,2n,Clc1cccc(-c2cc(F)c(nc2)[C@H](NC(=O)C2(NC(=O)C(F)(F)F)CC2)C)c1C(OCC)=O,Tr,-4.5528421
B-626,2k,Clc1cc(c(-c2nn(nn2)C)c(F)c1)-c1cc(F)c(cc1)[C@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)C,Tr,-4.6382723
B-627,2i,Clc1cc(Cl)cc(c1-c1nc(on1)C)-c1cc(F)c(cc1)[C@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)C,Tr,-4.6382723
B-628,2m,Clc1cc(Cl)cc(-c2cc(F)c(nc2)[C@H](NC(=O)C2(NC(=O)C(F)(F)F)CC2)C)c1C(OC)=O,Tr,-4.5376019
B-629,2e,Clc1cc(c(cc1)-c1nn(nn1)C)-c1cc(F)c(cc1)[C@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)C,Tr,-4.5528421
B-632,2h,Clc1cc(Cl)cc(-c2cc(F)c(cc2)[C@H](NC(=O)C2(NC(=O)C(F)(F)F)CC2)C)c1C(OCC)=O,Tr,-4.6020598
B-633,2o,Clc1cc(Cl)cc(-c2cc(F)c(nc2)[C@H](NC(=O)C2(NC(=O)C(F)(F)F)CC2)C)c1C(OCC)=O,Tr,-4.6020598
B-634,2l,Clc1cccc(-c2cc(F)c(nc2)[C@H](NC(=O)C2(NC(=O)C(F)(F)F)CC2)C)c1C(OC)=O,Tr,-4.6020598
B-635,2d,Clc1cc(c(cc1)-c1nc(on1)C)-c1cc(F)c(cc1)[C@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)C,Tr,-4.5086384
B-636,1,Clc1cccc(-c2cc(F)c(cc2)[C@H](NC(=O)C2(NC(=O)C(F)(F)F)CC2)C)c1C(OC)=O,Tr,-4.4685211
B-640,49,FC(F)(F)c1nn2c(C=CC=C2)c1Cc1ccc(cc1)C(=O)N[C@@H]1CCOC[C@@H]1C(=O)NO,Tr,-5.7447276
B-641,48,O1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(cc2)Cc2c3n(nc2C(C)(C)C)C=CC=C3)CC1,Tr,-5.3665314
B-646,1,o1cc(cc1)CN(C(=O)c1cc(cc(OCC2(CC2)CON=C(N)N)c1)C)CCC,Tr,-5.3872161
B-655,17,Fc1c(CC(=O)NCCONC(N)=N)c(ccc1NCC(F)(F)c1ncc(cc1)C)C#N,Tr,-6.188375
B-658,5,Fc1c(CC(=O)NCCONC(N)=N)c(ccc1NCC(F)(F)c1ccccc1)C#N,Tr,-5.6479244
B-659,22,Fc1c(CC(=O)NCCONC(N)=N)c(ccc1NCC(F)(F)c1cc(F)ccc1)C#N,Tr,-5.7414021
B-660,36,Fc1c(CC(=O)NCc2ccc(nc2C)N)c(ccc1NCC(F)(F)c1ncccc1)C#N,Tr,-5.1474957
B-661,34,Fc1c(CC(=O)NCCON(C(N)=N)C)c(ccc1NCC(F)(F)c1ncccc1)C#N,Tr,-6.3723636
B-662,23,Fc1c(CC(=O)NCCONC(N)=N)c(ccc1NCC(F)(F)c1cc(F)c(F)cc1)C#N,Tr,-5.9430285
B-663,S-6j,s1cccc1[C@]12[C@H](C1)CNC2,Tr,-4.7544875
C-1010,659-Harmane,[nH]1c2c(c3c1cccc3)ccnc2C,Tr,-5.223299
C-1032,694-Flutamide (FLT),FC(F)(F)c1cc(NC(=O)C(C)C)ccc1N(O)O,Tr,-4.3233066
C-1056,743-Ketorolac,OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,Tr,-5.3665314
C-1058,746-Flurbiprofen,Fc1cc(ccc1-c1ccccc1)C(C(O)=O)C,Tr,-4.696804
C-1059,749-Diflunisal,Fc1cc(F)ccc1-c1cc(C(O)=O)c(O)cc1,Tr,-4.7351823
C-1080,792-Papaverine (PAP),O(C)c1cc(ccc1OC)Cc1nccc2c1cc(OC)c(OC)c2,Tr,-4.4529643
C-1083,795-Coptisine chloride (COP),[Cl-].O1c2c3c(cc-4[n+](CCc5c-4cc4OCOc4c5)c3)ccc2OC1,Tr,-4.9574246
C-1126,"877-(2S,4S,5R)-2-[(4'-Chlorophenyl)-4-methyl-1,3-dioxan-5-yl]amine (5h)",Clc1ccc(cc1)[C@@H]1O[C@@H](C)[C@H](N)CO1,Tr,-4.9279342
C-1127,"878-(2S,4S,5R)-2-[(4'-Nitrophenyl)-4-methyl-1,3-dioxan-5-yl]amine (5i)",O1[C@H](OC[C@@H](N)[C@@H]1C)c1ccc(N(O)O)cc1,Tr,-4.8885694
C-1128,"879-(cis)-[2-(E-Phenylvinyl)-1,3-dioxan-5-yl]amine (6a)",O1CC(N)COC1C(=C)c1ccccc1,Tr,-4.9913998
C-1129,"880-(2S,4S,5R)-[2-(E-Phenylvinyl)-4-methyl-1,3-dioxan-5-yl]amine (6b)",O1[C@@H](C)[C@H](N)CO[C@@H]1C(=C)c1ccccc1,Tr,-4.9880071
C-1130,881-13h,Clc1ccc(cc1)[C@@H]1O[C@@H](C)[C@H](NC(=O)Cc2ccccc2)CO1,Tr,-4.9920392
C-1131,"883-(cis)-[2-(E-Phenylvinyl)-1,3-dioxan-5-yl]phenylacetamide (14a)",O1CC(NC(=O)Cc2ccccc2)COC1C(=C)c1ccccc1,Tr,-5.0498786
C-1132,884-14b,O1[C@@H](C)[C@H](NC(=O)Cc2ccccc2)CO[C@@H]1C(=C)c1ccccc1,Tr,-5.0503659
C-1165,953-Etoricoxib,Clc1cc(c(nc1)-c1ccc(nc1)C)-c1ccc(S(=O)(=O)C)cc1,Tr,-4.2814984
C-1169,961-Albendazole (ABZ),S(CCC)c1cc2[nH]c(nc2cc1)NC(OC)=O,Tr,-5.1870866
C-1197,1029-Dihydrotetrabenazine isomer,O(C)c1cc2C3N(CC(CC(C)C)C(O)C3)CCc2cc1OC,Tr,-4.5986857
C-1201,027-L-Phenylalanine,OC(=O)[C@@H](N)Cc1ccccc1,Tr,-4.6789713
C-1215,156-XIV,[Cl-].O(CCCCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-4.7695513
C-1216,173-Guanoxan,O1c2c(OCC1C\N=C(\N)/N)cccc2,Tr,-4.8195872
C-1222,228-Raffinose,O1[C@H](COC2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@@]1(O[C@H](CO)[C@@H](O)[C@@H]1O)CO,Tr,-7.309804
C-1223,234-Cortisone,O=C1CC[C@]2([C@H]3[C@H]([C@@H]4CC[C@](O)(C(=O)CO)[C@]4(CC3=O)C)CCC2=C1)C,Tr,-4.5086384
C-1238,301-Sotalol HCl,S(=O)(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C,Tr,-5.3767509
