, Name , t1/2(hour) ,SMILES
214, DOPAMINE , 0.03 ,NCCC1=CC(O)=C(O)C=C1
215, CLONIDINE , 14 ,ClC1=CC=CC(Cl)=C1NC1=NCCN1
216, CARMUSTINE , 0.37 ,ClCCNC(=O)N(CCCl)N=O
217, PILOCARPINE , 1.35 ,CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O
218, PRAZOSIN , 2.5 ,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1
219, DANTROLENE , 6 ,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O
220, DISOPYRAMIDE , 6.7 ,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
221, MICONAZOLE , 24 ,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
222, IBUPROFEN , 2 ,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
223, PIMOZIDE , 55 ,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
224, MEBENDAZOLE , 1.1 ,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1
225, LOXAPINE , 7.3 ,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2
226, OXYBUTYNIN , 2.5 ,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
227, TRIMETHOBENZAMIDE , 8 ,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
228, CLONAZEPAM , 35 ,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
229, BUTALBITAL , 35 ,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
230, MAPROTILINE , 51 ,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21
231, CARBIDOPA , 1.8 ,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
232, DANAZOL , 9.7 ,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3
233, FENOPROFEN , 3 ,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
234, BECLOMETHASONE DIPROPIONATE , 0.5 ,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
235, DACARBAZINE , 6.2 ,CN(C)\N=N\C1=C(N=CN1)C(N)=O
236, OXYBUTYNIN , 2.5 ,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
237, NAPROXEN , 14.5 ,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
238, FENOPROFEN , 3 ,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
239, LOPERAMIDE , 10.8 ,CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
240, HALAZEPAM , 21.15 ,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
241, DIFENOXIN , 13 ,OC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1
242, GLIPIZIDE , 3 ,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
243, VASOPRESSIN , 0.25 ,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O
244, LORAZEPAM , 14 ,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
245, DINOPROSTONE , 0.06 ,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
246, DOBUTAMINE , 0.033 ,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
247, CYCLOBENZAPRINE , 32 ,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12
248, BACLOFEN , 5 ,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
249, METOCLOPRAMIDE , 5.5 ,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
250, BUTORPHANOL , 4.74 ,[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
251, METOPROLOL , 5 ,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
252, METYROSINE , 3.3 ,C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O
253, SCOPOLAMINE , 9.5 ,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1
254, TRIAZOLAM , 3.5 ,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12
255, SULINDAC , 7.8 ,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
256, CIMETIDINE , 2 ,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N
257, BROMOCRIPTINE , 6 ,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C
258, METOPROLOL , 5 ,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
259, NADOLOL , 22 ,CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2
260, TAMOXIFEN , 144 ,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
261, OXAMNIQUINE , 2.2 ,CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)[N+]([O-])=O
262, TIMOLOL , 2.2 ,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1
263, AMOXAPINE , 8 ,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
264, NALBUPHINE , 5 ,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5
265, CALCITRIOL , 6.5 ,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
266, GUANADREL , 3.7 ,NC(N)=NCC1COC2(CCCCC2)O1
267, NADOLOL , 22 ,CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2
268, CINOXACIN , 1.5 ,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
269, OXAMNIQUINE , 2.2 ,CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)[N+]([O-])=O
270, VALPROIC ACID , 12.5 ,CCCC(CCC)C(O)=O
271, GUANADREL , 3.7 ,NC(N)=NCC1COC2(CCCCC2)O1
272, PIROXICAM , 50 ,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
273, FLUNISOLIDE , 1.5 ,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
274, MINOXIDIL , 4.2 ,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1
275, TEMAZEPAM , 8.8 ,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
276, OXPRENOLOL , 1.5 ,CC(C)NCC(O)COC1=CC=CC=C1OCC=C
277, AMILORIDE , 7.5 ,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
278, AMINOGLUTETHIMIDE , 12.5 ,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
279, TRAZODONE , 10 ,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1
280, BUMETANIDE , 1.25 ,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O
281, ETOMIDATE , 1.25 ,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
282, ATENOLOL , 6.5 ,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
283, TOCAINIDE , 15 ,CC(N)C(=O)NC1=C(C)C=CC=C1C
284, ALPRAZOLAM , 11.2 ,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
285, PINDOLOL , 3.5 ,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2
286, CAPTOPRIL , 2 ,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
287, VERAPAMIL , 5.1 ,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1
288, BUPRENORPHINE , 36.5 ,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4
289, GEMFIBROZIL , 1.5 ,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
290, DIFLUNISAL , 10 ,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
291, NIFEDIPINE , 2 ,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
292, ALPROSTADIL , 0.16 ,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
293, VERAPAMIL , 5.1 ,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1
294, INDAPAMIDE , 14 ,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O
295, NITROGLYCERIN , 0.046 ,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O
296, KETOCONAZOLE , 6.5 ,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
297, INDAPAMIDE , 14 ,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O
298, FLUTAMIDE , 7.8 ,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
299, RITODRINE , 2.6 ,C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C1=CC=C(O)C=C1
300, SULFADOXINE , 200 ,COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1OC
301, GUANABENZ , 6 ,NC(N)=NN=CC1=C(Cl)C=CC=C1Cl
302, DILTIAZEM , 3.75 ,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
303, BUPROPION , 21 ,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
304, ACYCLOVIR , 2.5 ,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
305, PENTOXIFYLLINE , 0.6 ,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
306, BUPROPION , 21 ,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
307, MIDAZOLAM , 4.1 ,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
308, ISOTRETINOIN , 21 ,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O
309, LEVONORGESTREL , 36.4 ,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
310, NABILONE , 2 ,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC
311, LABETALOL , 7 ,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1
312, PRAZIQUANTEL , 1.1 ,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1
313, RANITIDINE , 2.75 ,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
314, QUAZEPAM , 39 ,FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2
315, PRAZIQUANTEL , 1.1 ,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1
316, MILNACIPRAN , 7 ,CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1
317, BUSPIRONE , 2.5 ,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
318, CICLOPIROX , 1.7 ,CC1=CC(=O)N(O)C(=C1)C1CCCCC1
319, ACETOHYDROXAMIC ACID , 7.5 ,CC(=O)NO
320, KETOPROFEN , 3.5 ,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
321, FLURBIPROFEN , 5 ,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
322, ETOPOSIDE , 7.5 ,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
323, VECURONIUM , 1.16 ,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1
324, FLECAINIDE , 12 ,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
325, OXAPROZIN , 54.9 ,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1
326, RIBAVIRIN , 43.6 ,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
327, NIMODIPINE , 1.5 ,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C
328, MEXILETINE , 11 ,CC(N)COC1=C(C)C=CC=C1C
329, ACEBUTOLOL , 3.5 ,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O
330, ETODOLAC , 6.4 ,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
331, NALTREXONE , 4 ,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
332, FLUOXETINE , 120 ,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
333, LEVOCARNITINE , 17.4 ,C[N+](C)(C)C[C@H](O)CC([O-])=O
334, AMIODARONE , 1392 ,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
335, BEPRIDIL , 42 ,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1
336, LEUPROLIDE , 3 ,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1
337, GUANFACINE , 16 ,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl
338, HYDROMORPHONE , 2.3 ,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
339, TERAZOSIN , 12 ,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1
340, ESTAZOLAM , 17 ,ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1
341, DEZOCINE , 4 ,[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N
342, IPRATROPIUM , 2 ,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C
343, PROPAFENONE , 21 ,CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1
344, DICLOFENAC , 2.3 ,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
345, LEVOBETAXOLOL , 18 ,CC(C)NC[C@H](O)COC1=CC=C(CCOCC2CC2)C=C1
346, TRANEXAMIC ACID , 11 ,NC[C@H]1CC[C@@H](CC1)C(O)=O
347, MITOXANTRONE , 53 ,OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(C(O)=CC=C1O)C2=O
348, SELEGILINE , 2 ,C[C@H](CC1=CC=CC=C1)N(C)CC#C
349, ALFENTANIL , 1.6 ,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
350, NORFLOXACIN , 3.5 ,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1
351, PERGOLIDE , 21 ,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CSC)CN2CCC
352, ESMOLOL , 0.15 ,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
353, SUPROFEN , 2.1 ,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1
354, PINACIDIL , 2 ,CC(N\C(NC#N)=N\C1=CC=NC=C1)C(C)(C)C
355, ISRADIPINE , 8 ,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
356, PINACIDIL , 2 ,CC(N\C(NC#N)=N\C1=CC=NC=C1)C(C)(C)C
357, FAMOTIDINE , 2.8 ,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
358, NICARDIPINE , 4.1 ,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1
359, CLOFAZIMINE , 1680 ,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1
360, NIZATIDINE , 1.5 ,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O
361, CIPROFLOXACIN , 4 ,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
362, ISRADIPINE , 8 ,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
363, LISINOPRIL , 42 ,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
364, MEFLOQUINE , 504 ,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F
365, TERCONAZOLE , 6.9 ,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
366, KETOROLAC , 2.5 ,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
367, ENOXACIN , 4.5 ,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1
368, PROPOFOL , 3.2 ,CC(C)C1=CC=CC(C(C)C)=C1O
369, LOVASTATIN , 4.5 ,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
370, KETOROLAC , 5 ,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
371, RIMANTADINE , 39 ,CC(N)C12CC3CC(CC(C3)C1)C2
372, ZIDOVUDINE , 1.75 ,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
373, LORATADINE , 8.4 ,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
374, NEDOCROMIL , 0.08 ,CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O
375, GANCICLOVIR , 3.81 ,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1
376, OLSALAZINE , 0.9 ,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(O)C(=C1)C(O)=O
377, OFLOXACIN , 4.5 ,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1
378, MORICIZINE , 1.9 ,CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1
379, CLOZAPINE , 8 ,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
380, IFOSFAMIDE , 6.6 ,ClCCNP1(=O)OCCCN1CCCl
381, SIMVASTATIN , 4.5 ,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
382, APRACLONIDINE , 8 ,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1
383, LEVAMLODIPINE , 40 ,CCOC(=O)C1=C(COCCN)NC(C)=C([C@@H]1C1=CC=CC=C1Cl)C(=O)OC
384, PODOFILOX , 2.7 ,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@H]2O
385, OMEPRAZOLE , 0.75 ,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C
386, MIDODRINE , 0.4 ,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
387, ACITRETIN , 49 ,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
388, FELODIPINE , 14 ,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC
389, CETIRIZINE , 8 ,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
390, SERTRALINE , 26 ,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
391, DAPIPRAZOLE , 5 ,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1
392, PENICILLAMINE , 4.3 ,[H][C@](N)(C(O)=O)C(C)(C)S
393, SOTALOL , 12 ,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
394, SOTALOL , 12 ,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
395, PRAVASTATIN , 1.8 ,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
396, CLOMIPRAMINE , 32 ,CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
397, ZOLPIDEM , 2.5 ,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
398, DOXACURIUM , 1.6 ,COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC
399, FLUCONAZOLE , 30 ,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
400, FLUTICASONE PROPIONATE , 10 ,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
401, TICLOPIDINE , 108 ,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
402, BISOPROLOL , 10 ,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
403, SUCCIMER , 48 ,OC(=O)[C@@H](S)[C@@H](S)C(O)=O
404, ONDANSETRON , 3.5 ,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
405, LOMEFLOXACIN , 7.75 ,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12
406, PAROXETINE , 21 ,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
407, ITRACONAZOLE , 64 ,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
408, AZELASTINE , 22 ,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
409, FOSCARNET , 3.3 ,OC(=O)P(O)(O)=O
410, TACRINE , 3 ,NC1=C2CCCCC2=NC2=CC=CC=C12
411, FLUMAZENIL , 1 ,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1
412, ITRACONAZOLE , 64 ,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
413, MIVACURIUM , 0.03 ,COC1=CC(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CC\C=C\CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC
414, AZELASTINE , 22 ,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
415, TENIPOSIDE , 5 ,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@H](O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1
416, PENTOSTATIN , 6 ,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
417, BUDESONIDE , 2.5 ,[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
